Date,County,Primary Area of Practice,Activities in Medicine,Count of Physicians
7/1/20,Kern,General Surgery - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kern,General Surgery - Primary,Patient Care - 20-29 Hours,2
7/1/20,Kern,General Surgery - Primary,Patient Care - 30-39 Hours,3
7/1/20,Kern,General Surgery - Primary,Patient Care - 40+ Hours,21
7/1/20,Kern,General Surgery - Primary,Patient Care - None,2
7/1/20,Kern,Infectious Disease - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kern,Infectious Disease - Primary,Patient Care - 30-39 Hours,2
7/1/20,Kern,Infectious Disease - Primary,Patient Care - 40+ Hours,5
7/1/20,Kern,Infectious Disease - Primary,Patient Care - None,1
7/1/20,Kern,Internal Medicine - Primary,No Response,1
7/1/20,Kern,Internal Medicine - Primary,Patient Care - 1-9 Hours,9
7/1/20,Kern,Internal Medicine - Primary,Patient Care - 10-19 Hours,17
7/1/20,Kern,Internal Medicine - Primary,Patient Care - 20-29 Hours,9
7/1/20,Kern,Internal Medicine - Primary,Patient Care - 30-39 Hours,34
7/1/20,Kern,Internal Medicine - Primary,Patient Care - 40+ Hours,112
7/1/20,Kern,Internal Medicine - Primary,Patient Care - None,6
7/1/20,Kern,Nephrology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kern,Nephrology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kern,Nephrology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kern,Nephrology - Primary,Patient Care - 40+ Hours,11
7/1/20,Kern,Neurology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Kern,Neurology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kern,Neurology - Primary,Patient Care - 40+ Hours,8
7/1/20,Kern,No Response,No Response,66
7/1/20,Kern,No Response,Patient Care - 1-9 Hours,9
7/1/20,Kern,No Response,Patient Care - 10-19 Hours,17
7/1/20,Kern,No Response,Patient Care - 20-29 Hours,12
7/1/20,Kern,No Response,Patient Care - 30-39 Hours,34
7/1/20,Kern,No Response,Patient Care - 40+ Hours,94
7/1/20,Kern,No Response,Patient Care - None,10
7/1/20,Kern,Obstetrics and Gynecology - Primary,No Response,1
7/1/20,Kern,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,4
7/1/20,Kern,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kern,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,4
7/1/20,Kern,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,12
7/1/20,Kern,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,50
7/1/20,Kern,Obstetrics and Gynecology - Primary,Patient Care - None,3
7/1/20,Kern,Oncology - Primary,Patient Care - 20-29 Hours,2
7/1/20,Kern,Oncology - Primary,Patient Care - 30-39 Hours,7
7/1/20,Kern,Oncology - Primary,Patient Care - 40+ Hours,7
7/1/20,Kern,Ophthalmology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Kern,Ophthalmology - Primary,Patient Care - 10-19 Hours,2
7/1/20,Kern,Ophthalmology - Primary,Patient Care - 20-29 Hours,2
7/1/20,Kern,Ophthalmology - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kern,Ophthalmology - Primary,Patient Care - 40+ Hours,10
7/1/20,Kern,Ophthalmology - Primary,Patient Care - None,1
7/1/20,Kern,Orthopedic Surgery - Primary,Patient Care - 1-9 Hours,2
7/1/20,Kern,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kern,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,26
7/1/20,Kern,Orthopedic Surgery - Primary,Patient Care - None,1
7/1/20,Kern,Otolaryngology - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kern,Otolaryngology - Primary,Patient Care - 40+ Hours,1
7/1/20,Kern,Pathology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Kern,Pathology - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kern,Pathology - Primary,Patient Care - 40+ Hours,10
7/1/20,Kern,Pathology - Primary,Patient Care - None,3
7/1/20,Kern,Pediatrics - Primary,Patient Care - 1-9 Hours,5
7/1/20,Kern,Pediatrics - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kern,Pediatrics - Primary,Patient Care - 20-29 Hours,6
7/1/20,Kern,Pediatrics - Primary,Patient Care - 30-39 Hours,23
7/1/20,Kern,Pediatrics - Primary,Patient Care - 40+ Hours,33
7/1/20,Kern,Pediatrics - Primary,Patient Care - None,5
7/1/20,Kern,Physical Medicine and Rehabilitation - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kern,Physical Medicine and Rehabilitation - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kern,Physical Medicine and Rehabilitation - Primary,Patient Care - 40+ Hours,7
7/1/20,Kern,Plastic Surgery - Primary,Patient Care - 1-9 Hours,1
7/1/20,Kern,Plastic Surgery - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kern,Plastic Surgery - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kern,Plastic Surgery - Primary,Patient Care - 40+ Hours,3
7/1/20,Kern,Plastic Surgery - Primary,Patient Care - None,1
7/1/20,Kern,Psychiatry - Primary,Patient Care - 10-19 Hours,5
7/1/20,Kern,Psychiatry - Primary,Patient Care - 20-29 Hours,8
7/1/20,Kern,Psychiatry - Primary,Patient Care - 30-39 Hours,17
7/1/20,Kern,Psychiatry - Primary,Patient Care - 40+ Hours,27
7/1/20,Kern,Psychiatry - Primary,Patient Care - None,2
7/1/20,Kern,Pulmonary - Primary,Patient Care - 20-29 Hours,4
7/1/20,Kern,Pulmonary - Primary,Patient Care - 30-39 Hours,2
7/1/20,Kern,Pulmonary - Primary,Patient Care - 40+ Hours,9
7/1/20,Kern,Radiology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Kern,Radiology - Primary,Patient Care - 20-29 Hours,2
7/1/20,Kern,Radiology - Primary,Patient Care - 30-39 Hours,7
7/1/20,Kern,Radiology - Primary,Patient Care - 40+ Hours,29
7/1/20,Kern,Radiology - Primary,Patient Care - None,4
7/1/20,Kern,Urology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kern,Urology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kern,Urology - Primary,Patient Care - 40+ Hours,12
7/1/20,Kings,All Other Specialties,No Response,1
7/1/20,Kings,All Other Specialties,Patient Care - 1-9 Hours,1
7/1/20,Kings,All Other Specialties,Patient Care - 30-39 Hours,1
7/1/20,Kings,All Other Specialties,Patient Care - 40+ Hours,3
7/1/20,Kings,Anesthesiology - Primary,No Response,1
7/1/20,Kings,Anesthesiology - Primary,Patient Care - 40+ Hours,6
7/1/20,Kings,Anesthesiology - Primary,Patient Care - None,1
7/1/20,Kings,Cardiology - Primary,Patient Care - 40+ Hours,7
7/1/20,Kings,Dermatology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kings,Dermatology - Primary,Patient Care - 40+ Hours,1
7/1/20,Kings,Emergency Medicine - Primary,Patient Care - 10-19 Hours,4
7/1/20,Kings,Emergency Medicine - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kings,Emergency Medicine - Primary,Patient Care - 40+ Hours,7
7/1/20,Kings,Endocrinology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kings,Family Medicine - Primary,Patient Care - 1-9 Hours,2
7/1/20,Kings,Family Medicine - Primary,Patient Care - 10-19 Hours,4
7/1/20,Kings,Family Medicine - Primary,Patient Care - 20-29 Hours,8
7/1/20,Kings,Family Medicine - Primary,Patient Care - 30-39 Hours,11
7/1/20,Kings,Family Medicine - Primary,Patient Care - 40+ Hours,18
7/1/20,Kings,Family Medicine - Primary,Patient Care - None,3
7/1/20,Kings,Gastroenterology - Primary,Patient Care - 40+ Hours,5
7/1/20,Kings,General Practice - Primary,Patient Care - 20-29 Hours,2
7/1/20,Kings,General Practice - Primary,Patient Care - 30-39 Hours,2
7/1/20,Kings,General Practice - Primary,Patient Care - 40+ Hours,4
7/1/20,Kings,General Surgery - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kings,General Surgery - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kings,General Surgery - Primary,Patient Care - 40+ Hours,2
7/1/20,Kings,General Surgery - Primary,Patient Care - None,1
7/1/20,Kings,Infectious Disease - Primary,Patient Care - 40+ Hours,1
7/1/20,Kings,Internal Medicine - Primary,Patient Care - 10-19 Hours,5
7/1/20,Kings,Internal Medicine - Primary,Patient Care - 20-29 Hours,5
7/1/20,Kings,Internal Medicine - Primary,Patient Care - 30-39 Hours,4
7/1/20,Kings,Internal Medicine - Primary,Patient Care - 40+ Hours,32
7/1/20,Kings,Internal Medicine - Primary,Patient Care - None,3
7/1/20,Kings,Nephrology - Primary,Patient Care - 40+ Hours,1
7/1/20,Kings,Neurology - Primary,Patient Care - 40+ Hours,3
7/1/20,Kings,No Response,No Response,68
7/1/20,Kings,No Response,Patient Care - 1-9 Hours,2
7/1/20,Kings,No Response,Patient Care - 10-19 Hours,3
7/1/20,Kings,No Response,Patient Care - 20-29 Hours,3
7/1/20,Kings,No Response,Patient Care - 30-39 Hours,6
7/1/20,Kings,No Response,Patient Care - 40+ Hours,21
7/1/20,Kings,No Response,Patient Care - None,2
7/1/20,Kings,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kings,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,3
7/1/20,Kings,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,10
7/1/20,Kings,Oncology - Primary,Patient Care - 40+ Hours,1
7/1/20,Kings,Ophthalmology - Primary,Patient Care - 30-39 Hours,3
7/1/20,Kings,Ophthalmology - Primary,Patient Care - 40+ Hours,2
7/1/20,Kings,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,3
7/1/20,Kings,Otolaryngology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kings,Otolaryngology - Primary,Patient Care - 40+ Hours,2
7/1/20,Kings,Pathology - Primary,Patient Care - 30-39 Hours,2
7/1/20,Kings,Pediatrics - Primary,Patient Care - 20-29 Hours,2
7/1/20,Kings,Pediatrics - Primary,Patient Care - 30-39 Hours,5
7/1/20,Kings,Pediatrics - Primary,Patient Care - 40+ Hours,7
7/1/20,Kings,Pediatrics - Primary,Patient Care - None,1
7/1/20,Kings,Physical Medicine and Rehabilitation - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kings,Physical Medicine and Rehabilitation - Primary,Patient Care - 40+ Hours,1
7/1/20,Kings,Plastic Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Kings,Psychiatry - Primary,Patient Care - 1-9 Hours,2
7/1/20,Kings,Psychiatry - Primary,Patient Care - 10-19 Hours,1
7/1/20,Kings,Psychiatry - Primary,Patient Care - 30-39 Hours,2
7/1/20,Kings,Psychiatry - Primary,Patient Care - 40+ Hours,13
7/1/20,Kings,Psychiatry - Primary,Patient Care - None,2
7/1/20,Kings,Radiology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Kings,Radiology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Kings,Radiology - Primary,Patient Care - 30-39 Hours,2
7/1/20,Kings,Radiology - Primary,Patient Care - 40+ Hours,2
7/1/20,Kings,Radiology - Primary,Patient Care - None,1
7/1/20,Kings,Urology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Kings,Urology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Kings,Urology - Primary,Patient Care - 40+ Hours,3
7/1/20,Lake,All Other Specialties,Patient Care - 1-9 Hours,2
7/1/20,Lake,All Other Specialties,Patient Care - 10-19 Hours,1
7/1/20,Lake,All Other Specialties,Patient Care - 20-29 Hours,1
7/1/20,Lake,All Other Specialties,Patient Care - 30-39 Hours,4
7/1/20,Lake,All Other Specialties,Patient Care - 40+ Hours,6
7/1/20,Lake,All Other Specialties,Patient Care - None,4
7/1/20,Lake,Anesthesiology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Anesthesiology - Primary,Patient Care - 40+ Hours,12
7/1/20,Lake,Anesthesiology - Primary,Patient Care - None,1
7/1/20,Lake,Cardiology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Cardiology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Cardiology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Lake,Cardiology - Primary,Patient Care - 40+ Hours,4
7/1/20,Lake,Cardiology - Primary,Patient Care - None,1
7/1/20,Lake,Dermatology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Lake,Emergency Medicine - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lake,Emergency Medicine - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Emergency Medicine - Primary,Patient Care - 30-39 Hours,4
7/1/20,Lake,Emergency Medicine - Primary,Patient Care - 40+ Hours,3
7/1/20,Lake,Endocrinology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lake,Endocrinology - Primary,Patient Care - None,1
7/1/20,Lake,Family Medicine - Primary,Patient Care - 1-9 Hours,2
7/1/20,Lake,Family Medicine - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Family Medicine - Primary,Patient Care - 20-29 Hours,2
7/1/20,Lake,Family Medicine - Primary,Patient Care - 30-39 Hours,7
7/1/20,Lake,Family Medicine - Primary,Patient Care - 40+ Hours,9
7/1/20,Lake,Family Medicine - Primary,Patient Care - None,2
7/1/20,Lake,Gastroenterology - Primary,Patient Care - 20-29 Hours,2
7/1/20,Lake,Gastroenterology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Lake,General Practice - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,General Practice - Primary,Patient Care - 20-29 Hours,2
7/1/20,Lake,General Practice - Primary,Patient Care - 30-39 Hours,1
7/1/20,Lake,General Practice - Primary,Patient Care - 40+ Hours,2
7/1/20,Lake,General Surgery - Primary,Patient Care - 40+ Hours,4
7/1/20,Lake,General Surgery - Primary,Patient Care - None,2
7/1/20,Lake,Infectious Disease - Primary,Patient Care - None,1
7/1/20,Lake,Internal Medicine - Primary,Patient Care - 1-9 Hours,2
7/1/20,Lake,Internal Medicine - Primary,Patient Care - 20-29 Hours,5
7/1/20,Lake,Internal Medicine - Primary,Patient Care - 30-39 Hours,2
7/1/20,Lake,Internal Medicine - Primary,Patient Care - 40+ Hours,11
7/1/20,Lake,Internal Medicine - Primary,Patient Care - None,3
7/1/20,Lake,Nephrology - Primary,Patient Care - 40+ Hours,2
7/1/20,Lake,Neurology - Primary,Patient Care - 40+ Hours,1
7/1/20,Lake,Neurology - Primary,Patient Care - None,2
7/1/20,Lake,No Response,No Response,15
7/1/20,Lake,No Response,Patient Care - 1-9 Hours,1
7/1/20,Lake,No Response,Patient Care - 10-19 Hours,1
7/1/20,Lake,No Response,Patient Care - 20-29 Hours,4
7/1/20,Lake,No Response,Patient Care - 30-39 Hours,5
7/1/20,Lake,No Response,Patient Care - 40+ Hours,14
7/1/20,Lake,No Response,Patient Care - None,9
7/1/20,Lake,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lake,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,2
7/1/20,Lake,Obstetrics and Gynecology - Primary,Patient Care - None,1
7/1/20,Lake,Oncology - Primary,Patient Care - 40+ Hours,2
7/1/20,Lake,Oncology - Primary,Patient Care - None,3
7/1/20,Lake,Ophthalmology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Ophthalmology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Lake,Ophthalmology - Primary,Patient Care - 40+ Hours,4
7/1/20,Lake,Orthopedic Surgery - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lake,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,1
7/1/20,Lake,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,4
7/1/20,Lake,Orthopedic Surgery - Primary,Patient Care - None,2
7/1/20,Lake,Pathology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Pathology - Primary,Patient Care - 40+ Hours,2
7/1/20,Lake,Pathology - Primary,Patient Care - None,1
7/1/20,Lake,Pediatrics - Primary,No Response,1
7/1/20,Lake,Pediatrics - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Pediatrics - Primary,Patient Care - 30-39 Hours,2
7/1/20,Lake,Pediatrics - Primary,Patient Care - 40+ Hours,1
7/1/20,Lake,Pediatrics - Primary,Patient Care - None,2
7/1/20,Lake,Physical Medicine and Rehabilitation - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Physical Medicine and Rehabilitation - Primary,Patient Care - None,1
7/1/20,Lake,Plastic Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Lake,Psychiatry - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lake,Psychiatry - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Psychiatry - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lake,Psychiatry - Primary,Patient Care - 30-39 Hours,4
7/1/20,Lake,Psychiatry - Primary,Patient Care - 40+ Hours,3
7/1/20,Lake,Pulmonary - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Radiology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lake,Radiology - Primary,Patient Care - 40+ Hours,4
7/1/20,Lake,Radiology - Primary,Patient Care - None,1
7/1/20,Lassen,All Other Specialties,Patient Care - 20-29 Hours,1
7/1/20,Lassen,Cardiology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lassen,Cardiology - Primary,Patient Care - 40+ Hours,5
7/1/20,Lassen,Family Medicine - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lassen,Family Medicine - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lassen,Family Medicine - Primary,Patient Care - 30-39 Hours,4
7/1/20,Lassen,Family Medicine - Primary,Patient Care - 40+ Hours,5
7/1/20,Lassen,Family Medicine - Primary,Patient Care - None,2
7/1/20,Lassen,General Practice - Primary,Patient Care - 40+ Hours,1
7/1/20,Lassen,General Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Lassen,Internal Medicine - Primary,Patient Care - 40+ Hours,2
7/1/20,Lassen,No Response,No Response,1
7/1/20,Lassen,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,1
7/1/20,Lassen,Orthopedic Surgery - Primary,Patient Care - 10-19 Hours,1
7/1/20,Lassen,Pediatrics - Primary,Patient Care - 20-29 Hours,1
7/1/20,Lassen,Psychiatry - Primary,Patient Care - 1-9 Hours,1
7/1/20,Lassen,Psychiatry - Primary,Patient Care - 20-29 Hours,1
7/1/20,Los Angeles,All Other Specialties,No Response,33
7/1/20,Los Angeles,All Other Specialties,Patient Care - 1-9 Hours,203
7/1/20,Los Angeles,All Other Specialties,Patient Care - 10-19 Hours,213
7/1/20,Los Angeles,All Other Specialties,Patient Care - 20-29 Hours,376
7/1/20,Los Angeles,All Other Specialties,Patient Care - 30-39 Hours,609
7/1/20,Los Angeles,All Other Specialties,Patient Care - 40+ Hours,1543
7/1/20,Los Angeles,All Other Specialties,Patient Care - None,313
7/1/20,Los Angeles,Anesthesiology - Primary,No Response,3
7/1/20,Los Angeles,Anesthesiology - Primary,Patient Care - 1-9 Hours,55
7/1/20,Los Angeles,Anesthesiology - Primary,Patient Care - 10-19 Hours,48
7/1/20,Los Angeles,Anesthesiology - Primary,Patient Care - 20-29 Hours,90
7/1/20,Los Angeles,Anesthesiology - Primary,Patient Care - 30-39 Hours,166
7/1/20,Los Angeles,Anesthesiology - Primary,Patient Care - 40+ Hours,1079
7/1/20,Los Angeles,Anesthesiology - Primary,Patient Care - None,71
7/1/20,Los Angeles,Cardiology - Primary,Patient Care - 1-9 Hours,37
7/1/20,Los Angeles,Cardiology - Primary,Patient Care - 10-19 Hours,44
7/1/20,Los Angeles,Cardiology - Primary,Patient Care - 20-29 Hours,78
7/1/20,Los Angeles,Cardiology - Primary,Patient Care - 30-39 Hours,129
7/1/20,Los Angeles,Cardiology - Primary,Patient Care - 40+ Hours,529
7/1/20,Los Angeles,Cardiology - Primary,Patient Care - None,52
7/1/20,Los Angeles,Dermatology - Primary,No Response,2
7/1/20,Los Angeles,Dermatology - Primary,Patient Care - 1-9 Hours,23
7/1/20,Los Angeles,Dermatology - Primary,Patient Care - 10-19 Hours,33
7/1/20,Los Angeles,Dermatology - Primary,Patient Care - 20-29 Hours,63
7/1/20,Los Angeles,Dermatology - Primary,Patient Care - 30-39 Hours,174
7/1/20,Los Angeles,Dermatology - Primary,Patient Care - 40+ Hours,180
7/1/20,Los Angeles,Dermatology - Primary,Patient Care - None,26
7/1/20,Los Angeles,Emergency Medicine - Primary,No Response,4
7/1/20,Los Angeles,Emergency Medicine - Primary,Patient Care - 1-9 Hours,55
7/1/20,Los Angeles,Emergency Medicine - Primary,Patient Care - 10-19 Hours,80
7/1/20,Los Angeles,Emergency Medicine - Primary,Patient Care - 20-29 Hours,178
7/1/20,Los Angeles,Emergency Medicine - Primary,Patient Care - 30-39 Hours,355
7/1/20,Los Angeles,Emergency Medicine - Primary,Patient Care - 40+ Hours,516
7/1/20,Los Angeles,Emergency Medicine - Primary,Patient Care - None,38
7/1/20,Los Angeles,Endocrinology - Primary,No Response,1
7/1/20,Los Angeles,Endocrinology - Primary,Patient Care - 1-9 Hours,18
7/1/20,Los Angeles,Endocrinology - Primary,Patient Care - 10-19 Hours,29
7/1/20,Los Angeles,Endocrinology - Primary,Patient Care - 20-29 Hours,43
7/1/20,Los Angeles,Endocrinology - Primary,Patient Care - 30-39 Hours,61
7/1/20,Los Angeles,Endocrinology - Primary,Patient Care - 40+ Hours,107
7/1/20,Los Angeles,Endocrinology - Primary,Patient Care - None,10
7/1/20,Los Angeles,Family Medicine - Primary,No Response,6
7/1/20,Los Angeles,Family Medicine - Primary,Patient Care - 1-9 Hours,111
7/1/20,Los Angeles,Family Medicine - Primary,Patient Care - 10-19 Hours,132
7/1/20,Los Angeles,Family Medicine - Primary,Patient Care - 20-29 Hours,303
7/1/20,Los Angeles,Family Medicine - Primary,Patient Care - 30-39 Hours,697
7/1/20,Los Angeles,Family Medicine - Primary,Patient Care - 40+ Hours,973
7/1/20,Los Angeles,Family Medicine - Primary,Patient Care - None,121
7/1/20,Los Angeles,Gastroenterology - Primary,No Response,1
7/1/20,Los Angeles,Gastroenterology - Primary,Patient Care - 1-9 Hours,34
7/1/20,Los Angeles,Gastroenterology - Primary,Patient Care - 10-19 Hours,31
7/1/20,Los Angeles,Gastroenterology - Primary,Patient Care - 20-29 Hours,46
7/1/20,Los Angeles,Gastroenterology - Primary,Patient Care - 30-39 Hours,81
7/1/20,Los Angeles,Gastroenterology - Primary,Patient Care - 40+ Hours,331
7/1/20,Los Angeles,Gastroenterology - Primary,Patient Care - None,15
7/1/20,Los Angeles,General Practice - Primary,No Response,7
7/1/20,Los Angeles,General Practice - Primary,Patient Care - 1-9 Hours,74
7/1/20,Los Angeles,General Practice - Primary,Patient Care - 10-19 Hours,58
7/1/20,Los Angeles,General Practice - Primary,Patient Care - 20-29 Hours,73
7/1/20,Los Angeles,General Practice - Primary,Patient Care - 30-39 Hours,137
7/1/20,Los Angeles,General Practice - Primary,Patient Care - 40+ Hours,214
7/1/20,Los Angeles,General Practice - Primary,Patient Care - None,62
7/1/20,Los Angeles,General Surgery - Primary,No Response,13
7/1/20,Los Angeles,General Surgery - Primary,Patient Care - 1-9 Hours,27
7/1/20,Los Angeles,General Surgery - Primary,Patient Care - 10-19 Hours,32
7/1/20,Los Angeles,General Surgery - Primary,Patient Care - 20-29 Hours,36
7/1/20,Los Angeles,General Surgery - Primary,Patient Care - 30-39 Hours,85
7/1/20,Los Angeles,General Surgery - Primary,Patient Care - 40+ Hours,423
7/1/20,Los Angeles,General Surgery - Primary,Patient Care - None,45
7/1/20,Los Angeles,Infectious Disease - Primary,No Response,2
7/1/20,Los Angeles,Infectious Disease - Primary,Patient Care - 1-9 Hours,34
7/1/20,Los Angeles,Infectious Disease - Primary,Patient Care - 10-19 Hours,25
7/1/20,Los Angeles,Infectious Disease - Primary,Patient Care - 20-29 Hours,32
7/1/20,Los Angeles,Infectious Disease - Primary,Patient Care - 30-39 Hours,34
7/1/20,Los Angeles,Infectious Disease - Primary,Patient Care - 40+ Hours,138
7/1/20,Los Angeles,Infectious Disease - Primary,Patient Care - None,12
7/1/20,Los Angeles,Internal Medicine - Primary,No Response,27
7/1/20,Los Angeles,Internal Medicine - Primary,Patient Care - 1-9 Hours,262
7/1/20,Los Angeles,Internal Medicine - Primary,Patient Care - 10-19 Hours,249
7/1/20,Los Angeles,Internal Medicine - Primary,Patient Care - 20-29 Hours,372
7/1/20,Los Angeles,Internal Medicine - Primary,Patient Care - 30-39 Hours,765
7/1/20,Los Angeles,Internal Medicine - Primary,Patient Care - 40+ Hours,2023
7/1/20,Los Angeles,Internal Medicine - Primary,Patient Care - None,229
7/1/20,Los Angeles,Nephrology - Primary,No Response,1
7/1/20,Los Angeles,Nephrology - Primary,Patient Care - 1-9 Hours,20
7/1/20,Los Angeles,Nephrology - Primary,Patient Care - 10-19 Hours,18
7/1/20,Los Angeles,Nephrology - Primary,Patient Care - 20-29 Hours,33
7/1/20,Los Angeles,Nephrology - Primary,Patient Care - 30-39 Hours,64
7/1/20,Los Angeles,Nephrology - Primary,Patient Care - 40+ Hours,210
7/1/20,Los Angeles,Nephrology - Primary,Patient Care - None,10
7/1/20,Los Angeles,Neurology - Primary,No Response,2
7/1/20,Los Angeles,Neurology - Primary,Patient Care - 1-9 Hours,36
7/1/20,Los Angeles,Neurology - Primary,Patient Care - 10-19 Hours,40
7/1/20,Los Angeles,Neurology - Primary,Patient Care - 20-29 Hours,70
7/1/20,Los Angeles,Neurology - Primary,Patient Care - 30-39 Hours,80
7/1/20,Los Angeles,Neurology - Primary,Patient Care - 40+ Hours,241
7/1/20,Los Angeles,Neurology - Primary,Patient Care - None,20
7/1/20,Los Angeles,No Response,No Response,1781
7/1/20,Los Angeles,No Response,Patient Care - 1-9 Hours,264
7/1/20,Los Angeles,No Response,Patient Care - 10-19 Hours,329
7/1/20,Los Angeles,No Response,Patient Care - 20-29 Hours,460
7/1/20,Los Angeles,No Response,Patient Care - 30-39 Hours,984
7/1/20,Los Angeles,No Response,Patient Care - 40+ Hours,2188
7/1/20,Los Angeles,No Response,Patient Care - None,448
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,No Response,5
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,52
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,66
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,100
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,236
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,702
7/1/20,Los Angeles,Obstetrics and Gynecology - Primary,Patient Care - None,96
7/1/20,Los Angeles,Oncology - Primary,No Response,4
7/1/20,Los Angeles,Oncology - Primary,Patient Care - 1-9 Hours,37
7/1/20,Los Angeles,Oncology - Primary,Patient Care - 10-19 Hours,29
7/1/20,Los Angeles,Oncology - Primary,Patient Care - 20-29 Hours,55
7/1/20,Los Angeles,Oncology - Primary,Patient Care - 30-39 Hours,71
7/1/20,Los Angeles,Oncology - Primary,Patient Care - 40+ Hours,202
7/1/20,Los Angeles,Oncology - Primary,Patient Care - None,27
7/1/20,Los Angeles,Ophthalmology - Primary,No Response,4
7/1/20,Los Angeles,Ophthalmology - Primary,Patient Care - 1-9 Hours,38
